Date,Open,High,Low,Close,Adj Close,Volume
4/20/2018,73.540001,73.57,72.550003,72.839996,72.839996,7050900
4/23/2018,65.510002,65.93,64.949997,65.68,56.998486,6282800
4/24/2018,65.860001,67.25,65.760002,66.599998,57.79689,10204500
4/25/2018,66.25,68.089996,66.18,67.730003,58.777519,7379300
4/26/2018,67.760002,69.379997,67.699997,68.690002,59.610641,10664500
4/27/2018,68.82,71.080002,68.610001,69.949997,60.704079,7486500
4/30/2018,70.139999,70.629997,69,69.830002,60.599953,18378800
5/1/2018,69.230003,69.75,68,68,59.011826,9569900
5/2/2018,66.989998,67.5,65.510002,65.940002,57.224121,14322500
5/3/2018,65.779999,65.830002,62.25,62.27,54.039215,17123400
5/4/2018,62.040001,63.389999,61.310001,63.099998,54.759499,12251800
5/7/2018,63.119999,63.25,61.389999,61.75,53.58794,11944900
5/8/2018,62,62,60.32,60.709999,52.68541,10412800
5/9/2018,60.889999,62.360001,60.650002,61.209999,53.119324,9062300
5/10/2018,61.700001,63.619999,61.560001,62.439999,54.186741,10115800
5/11/2018,62.709999,65.610001,60.900002,64.410004,55.896351,15335100
5/14/2018,64.610001,67.07,64.580002,66.82,57.987797,12415100
5/15/2018,66.480003,66.82,65.480003,65.839996,57.137337,6510100
5/16/2018,66.099998,66.449997,65.589996,66.129997,57.389004,5965300
5/17/2018,66.059998,66.300003,65.519997,65.760002,57.067913,6605200
5/18/2018,65.980003,66.089996,64.589996,64.919998,56.33894,4734500
5/21/2018,65.099998,65.669998,64.739998,65.5,56.842274,4958900
5/22/2018,65.690002,66.589996,65.419998,65.620003,56.946407,4183600
5/23/2018,65.379997,65.82,64.860001,65.57,56.903027,5965400
5/24/2018,65.529999,65.650002,64.339996,65.120003,56.51252,4706800
5/25/2018,65.120003,66.529999,64.940002,66.029999,57.302227,5559800
5/29/2018,65.449997,65.980003,64.599998,64.800003,56.234802,8248000
5/30/2018,65.059998,66.029999,64.760002,65.989998,57.267509,6522900
5/31/2018,65.839996,65.860001,63.360001,63.389999,55.011169,13403100
6/1/2018,63.849998,64.209999,63.439999,64.07,55.601303,5503000
6/4/2018,64.080002,64.529999,63.639999,64.099998,55.627319,11423800
6/5/2018,63.919998,64.32,62.66,63.330002,54.95911,8008800
6/6/2018,63.669998,65.110001,63.349998,65.080002,56.477791,6529400
6/7/2018,65.120003,65.650002,64.650002,65.019997,56.425724,5814300
6/8/2018,65.269997,66.07,65.010002,66.029999,57.302227,5473800
6/11/2018,66.099998,67.730003,65.790001,66.940002,58.091938,8261800
6/12/2018,67.120003,67.339996,65.449997,66.349998,57.579918,9915000
6/13/2018,68,69.629997,67.290001,68.410004,59.367645,13830700
6/14/2018,68.699997,69.480003,68.099998,69.120003,59.983791,8630900
6/15/2018,68.940002,70.25,68.839996,70.089996,60.825577,13025200
6/18/2018,69.279999,69.480003,67.629997,67.739998,58.786186,7482800
6/19/2018,67.720001,71.330002,67.5,70.769997,61.41568,11019600
6/20/2018,70.599998,72.129997,69.790001,71.599998,62.135986,9279300
6/21/2018,71.93,72.919998,70.809998,71.080002,61.684727,6157500
6/22/2018,71.589996,72.629997,71.040001,72.18,62.639324,8784200
6/25/2018,71.690002,72.220001,70.400002,71.43,61.988453,6735000
6/26/2018,71.5,71.75,69.519997,69.809998,60.582577,6579700
6/27/2018,69.769997,70.43,69.239998,70.050003,60.790874,6376400
6/28/2018,64.190002,66.330002,63.040001,65.779999,57.085274,26157400
6/29/2018,65.879997,65.989998,64.339996,64.349998,55.844288,10754700
7/2/2018,63.939999,65.290001,63.709999,65.169998,56.555893,7449400
7/3/2018,65.400002,65.400002,64.279999,64.5,55.974457,3242900
7/5/2018,65.099998,65.389999,64.440002,65.089996,56.486462,6678800
7/6/2018,64.959999,66.730003,64.68,66.480003,57.692738,7108200
7/9/2018,67.419998,68.690002,67.160004,67.639999,58.699417,8026500
7/10/2018,68.400002,68.769997,67.709999,68.239998,59.220104,6329800
7/11/2018,67.940002,67.940002,66.809998,67.300003,58.404346,5926800
7/12/2018,67.940002,70.339996,67.169998,67.989998,59.003139,14054100
7/13/2018,67.989998,69.550003,67.989998,68.629997,59.558556,5592100
7/16/2018,68.669998,68.779999,68.110001,68.239998,59.220104,4594100
7/17/2018,68.239998,68.300003,67.360001,67.940002,58.95977,5312600
7/18/2018,67.849998,68.360001,67.559998,67.900002,58.925041,5129500
7/19/2018,67.559998,67.75,64.760002,66.139999,57.397686,9621100
7/20/2018,65.75,65.980003,65.059998,65.260002,56.634003,6331200
7/23/2018,65.349998,66.57,65.330002,66.339996,57.571239,5456900
7/24/2018,65.809998,66.209999,65.309998,65.580002,57.343906,6764600
7/25/2018,65.300003,66,65.139999,65.989998,57.702408,4586500
